,time,SPP3_F,SPP1_F,NPV,SSP1_population,SSP3_Population,SSP1_Pop,SSP3_pop,SSP1 NPV,SSP3 NPV,SSP1 Diff,SSP1 Aviodance,
1,2020,-2.775968431,0.907073638,0,1,1,0.907073638,-2.775968431,0.907073638,-2.775968431,3.683042069,4.590115708,-2230.035051
1,2021,-4.874052965,1.248478696,0,1,1,1.248478696,-4.874052965,1.248478696,-4.874052965,6.122531661,7.371010356,-2533.570767
1,2022,-7.931182287,-2.738836933,0,1,1,-2.738836933,-7.931182287,-2.738836933,-7.931182287,5.192345355,2.453508422,-2995.186486
1,2023,-9.221977451,-3.120180918,0,1,1,-3.120180918,-9.221977451,-3.120180918,-9.221977451,6.101796533,2.981615614,
1,2024,-6.813457584,-4.598137489,0.02,1,1,-4.598137489,-6.813457584,-4.50797793,-6.679860377,2.171882447,-2.378681414,
1,2025,-6.185493269,-6.004994199,0.02,1.04,1.04,-6.245193967,-6.432913,-6.122739183,-6.306777451,0.184038268,-5.942309508,
1,2026,-7.669113692,-6.348134689,0.02,1.04,1.04,-6.602060076,-7.97587824,-6.472607918,-7.81948847,1.346880552,-5.152136788,
1,2027,-7.272449693,-5.889037498,0.02,1.04,1.04,-6.124598998,-7.563347681,-6.004508822,-7.415046746,1.410537924,-4.621628504,
1,2028,-8.28472824,-4.53559972,0.02,1.04,1.04,-4.717023708,-8.616117369,-4.624533048,-8.447173891,3.822640844,-0.876845946,
1,2029,-9.468409245,-4.164634314,0.02,1.04,1.04,-4.331219687,-9.847145615,-4.246293811,-9.654064329,5.407770518,1.055441991,
1,2030,-10.25656926,-0.506895765,0.02,1.04,1.04,-0.527171596,-10.66683203,-0.516834898,-10.45767846,9.940843566,9.229090167,
2,2031,-7.101940955,1.725587715,0.02,1.04,1.04,1.794611223,-7.386018593,1.724924282,-7.099210489,8.824134772,10.20640715,
3,2032,-5.485180611,2.008820533,0.02,1.04,1.04,2.089173354,-5.704587835,1.968674713,-5.375560527,7.344235239,8.889311609,
4,2033,-3.946066684,3.329791357,0.02,1.04,1.04,3.462983011,-4.103909351,3.199261015,-3.791377883,6.990638898,9.657530787,
5,2034,-2.905704901,4.495827907,0.02,1.04,1.04,4.675661024,-3.021933097,4.234890245,-2.737057911,6.971948157,10.5495985,
6,2035,-0.987651713,5.075610641,0.02,1.04,1.04,5.278635067,-1.027157782,4.687276876,-0.912086715,5.599363592,9.659351504,
7,2036,1.592846767,5.371703691,0.02,1.04,1.04,5.586571839,1.656560638,4.863446978,1.442135725,3.421311253,7.841904313,
8,2037,-0.433986694,5.122177538,0.02,1.04,1.04,5.32706464,-0.451346162,4.546598377,-0.385219603,4.93181798,8.755857535,
9,2038,0.049329799,7.457442291,0.02,1.04,1.04,7.755739982,0.051302991,6.489656271,0.042928048,6.446728223,11.88399006,
